,Title,Phone,Website,Street Address,City,State,Zip,County,Specialty,Language Line Interpretation Services Available,Accepting New Clients,ADA Compliant,Telecommunication Device for the Deaf (TDD) equipment,Blocks from public tranportation,Miles from public tranportation,Spanish,Vietnamese,Tagalog,MandarinChinese,AmericanSignLanguage,YueChinese,Russian,Korean,Persian,Chinese,Armenian,Japanese,Arabic,Khmer,Hmong,Italian,Samoan,Ukrainian,Portuguese,Panjabi,Serves Children,Serves Adults,Open Hours
15,CENTRAL COUNTY MENTAL HEALTH, (650) 573-3571,https://www.smchealth.org/,1950 ALAMEDA DE LAS PULGAS,SAN MATEO,CA,94403,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Yes,Yes,1,1,1,,Fluent,,Fluent,Fluent,Fluent,Fluent,,,Good,Good,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
16,COASTSIDE MENTAL HEALTH, (650) 726-6369,https://www.smchealth.org/,225 S. CABRILLO HIGHWAY,HALF MOON BAY,CA,94019,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,,,Fluent,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
17,COMMUNITY COUNSELING CENTER, (650) 363-4030,https://www.smchealth.org/,2415 UNIVERSITY AVENUE,EAST PALO ALTO,CA,94303,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,,,,,,,,Good,,Good,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
18,ELYSIAN STRTP COUNTY OF SAN MATEO, (650) 312-5320,https://www.smchealth.org/,31 TOWER ROAD,SAN MATEO,CA,94402,San Mateo,"Emotionally Disturbed Childrens' Residential Treatment Facility, Individuals or Groups (of Individuals)",Yes,Yes,1,1,5,,Good,,,,,,,,,,,Good,,,,,,,,,1,0,Monday through Sunday 12:00 AM to 11:59 PM
19,HARBOR, (650) 573-2159,https://www.smchealth.org/,310 HARBOR BLVD,BELMONT,CA,94002,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Yes,Yes,1,0,5,,Fluent,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
20,JEFFERSON UNION HIGH SCHOOL DISTRICT (JUHSD) TDS, (650) 994-4395,https://www.smchealth.org/,699 SERRAMONTE BLVD,DALY CITY,CA,94015,San Mateo,"Adolescent and Children Mental Health Clinic/Center, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,,,,,,,,,,,,,Good,,,,,,,,1,0,Monday through Friday 08:00 AM to 04:00 PM
21,NORTH COUNTY MENTAL HEALTH, (650) 301-8650,https://www.smchealth.org/,375 89TH STREET,DALY CITY,CA,94015,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,Good,Fluent,Good,,Good,,,,Good,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
22,NORTH COUNTY YOUTH, (650) 301-8650,https://www.smchealth.org/,350 90TH STREET,DALY CITY,CA,94015,San Mateo,"Community Health Clinic/Center, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,Good,Fluent,Good,,Good,,,Good,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
23,PALOS VERDES, (650) 583-1260,https://www.smchealth.org/,1290 COMMODORE DRIVE,SAN BRUNO,CA,94066,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Yes,Yes,1,1,1,,Fluent,,Good,Good,,Good,Good,,,,,,Good,,,,,,,,1,0,Monday through Friday 08:00 AM to 05:00 PM
24,SAN MATEO MEDICAL CENTER, (800) 686-0101,https://www.smchealth.org/san-mateo-medical-center,222 WEST 39TH AVENUE,SAN MATEO,CA,94403,San Mateo,"Psychiatric Hospital Unit, Non-Individual - Hospitals",Yes,Yes,1,0,1,,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,,Fluent,Fluent,Fluent,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
25,SAN MATEO MEDICAL CENTER - PES, (650) 573-2662,https://www.smchealth.org/san-mateo-medical-center,222 W 39TH AVENUE,SAN MATEO,CA,94403,San Mateo,"Psychiatric Hospital Unit, Non-Individual - Hospital Units",Yes,Yes,1,0,1,,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,Fluent,,Fluent,Fluent,Fluent,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
26,SERVICE CONNECT, (650) 508-6745,https://www.smchealth.org/,550 QUARRY ROAD,SAN CARLOS,CA,94070,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
27,SHASTA, (650) 599-1033,https://www.smchealth.org/,727 SHASTA STREET,REDWOOD CITY,CA,94063,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,,,Good,,,Good,,,,,,,,,,,,,,1,0,Monday through Friday 08:00 AM to 05:00 PM
28,SOUTH COUNTY MENTAL HEALTH, (650) 363-4111,https://www.smchealth.org/,802 BREWSTER AVENUE,REDWOOD CITY,CA,94063,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,Good,Good,Good,,Good,Good,,,Good,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
29,YOUTH SERVICE CENTER, (650) 312-5322,https://www.smchealth.org/,222 PAUL SCANNELL DRIVE,SAN MATEO,CA,94402,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Fluent,,,,,,,,,,,,,,,,,,,,1,0,Monday through Friday 08:00 AM to 05:00 PM
30,STARVISTA, (650) 366-8436,https://star-vista.org/,333 GELLERT BLVD SUITE 206,DALY CITY,CA,94015,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Good,,,Good,,Good,,,,,,,,,,,,,,,1,1,Monday through Thursday 02:00 PM to 08:00 PMFriday 02:00 PM to 06:00 PM
31,STARVISTA PACIFICA, (650) 366-8433,https://star-vista.org/,480 MANOR PLAZA,PACIFICA,CA,94044,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 09:00 AM to 05:00 PM
32,STARVISTASAN MATEO COUNTY PRIDE CENTER, (650) 355-8787,https://star-vista.org/,1021 S. EL CAMINO REAL,SAN MATEO,CA,94402,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 10:00 AM to 07:00 PM
33,TELECARE ADULT FULL SERVICE PARTNERSHIP, (650) 817-9070,https://www.telecarecorp.com/,1692 EL CAMINO REAL,SAN CARLOS,CA,94070,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",No,Yes,1,0,5,,Good,,,Good,,,,,,Good,,,,,,,,,,,1,1,Monday through Friday 08:30 AM to 05:00 PM
34,YOUTH SERVICE BUREAU, (650) 877-8642,https://www.ymcasf.org/,1670 S AMPHLETT BLVD SUITE 115,SAN MATEO,CA,94402,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",No,Yes,1,0,5,,Good,,Good,Good,,,Good,,,,,,Good,,,,,,,,1,0,Monday through Friday 07:30 AM to 06:30 PM
35,YOUTH SERVICE BUREAU-PACIFICA, (650) 877-8642,https://www.ymcasf.org/,435 EDGEMAR AVE,PACIFICA,CA,94044,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",No,Yes,1,0,5,,Good,,Good,,,Good,,,,,,,,,,,,,,,1,0,Wednesday 03:00 PM to 08:00 PM
36,YOUTH SERVICES BUREAU SSF, (650) 877-8642,https://www.ymcasf.org/,1486 HUNTINGTON AVENUE,SOUTH SAN FRANCISCO,CA,94080,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",No,Yes,1,0,1,,Good,,Good,Good,,Good,Good,,,,,,,,,,,,,,1,0,Monday 08:00 AM to 12:00 PMTuesday 12:00 PM to 04:00 PMThursday 12:00 PM to 04:00 PM
37,EDGEWOOD CENTER FOR CHILDREN AND FAMILIES SO SAN FRANCISCO, (650) 517-8220,https://edgewood.org/,170 S. SPRUCE AVENUE SUITE 250,SOUTH SAN FRANCISCO,CA,94080,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",No,Yes,1,0,1,,Good,Good,Good,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 09:00 AM to 02:00 PM
38,(RE) MIND FELTON BEAM, (650) 458-0026,http://feltonearlypsychosis.org,1108 SOUTH EL CAMINO REAL,SAN MATEO,CA,94402,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",No,Yes,1,1,1,,Good,,,Good,,,,,,,,,,,,,,,,,1,1,Monday through Friday 09:00 AM to 05:00 PM
39,FRED FINCH YOUTH CENTER, (510) 482-2244,http://www.fredfinch.org,3800 COOLIDGE AVENUE,OAKLAND,CA,94602,Alameda,"Multi-Specialty Group, Individuals or Groups (of Individuals)",No,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,0,Monday through Friday 08:00 AM to 08:00 PM
40,FRED FINCH YOUTH CENTER BRIDGES OF SAN MATEO, (650) 286-2090,http://www.fredfinch.org,126 W. 25TH AVENUE,SAN MATEO,CA,94403,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",No,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,0,Monday through Friday 09:00 AM to 05:00 PM
41,DRAKE HOUSE MHSS, (831) 655-8800,http://www.frontst.com,320 HAWTHORNE STREET,MONTEREY,CA,93940,Monterey,"Case Management Agency, Individuals or Groups (of Individuals)",No,Yes,1,0,5,,Good,Good,Good,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
42,SERENITY HOUSE, (650) 204-9698,https://www.telecarecorp.com/,3701 HACIENDA STREET,SAN MATEO,CA,94403,San Mateo,"Adult Mental Health Clinic/Center, Non-Individual - Residential Treatment Facilities",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
43,DALY CITY YOUTH HEALTH CENTER, (650) 877-5700,https://www.juhsd.net/,350 90TH STREET,DALY CITY,CA,94015,San Mateo,"Local Education Agency (LEA), Individuals or Groups (of Individuals)",No,Yes,1,0,1,,Good,,Good,Good,,Good,,,,,,,,,,Good,,,,,1,0,Monday through Friday 09:00 AM to 05:30 PM
44,MENTAL HEALTH ASSOC. OF SAN MATEO COUNTY-BELMONT STUDIOS, (650) 368-3345,http://www.mhasmc.org/,800 F STREET,BELMONT,CA,94002,San Mateo,"Case Management Agency, Individuals or Groups (of Individuals)",No,Yes,1,1,1,,Good,,,,,,,,,,,,,,,,Good,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
45,MENTAL HEALTH ASSOCIATION OF SAN MATEO COUNTY, (650) 368-3345,http://www.mhasmc.org/,2686 SPRING STREET,REDWOOD CITY,CA,94063,San Mateo,"Case Management Agency, Individuals or Groups (of Individuals)",No,Yes,1,1,5,,Good,,,,,,,,,,,,,,,,Good,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
46,MHA-CEDAR STREET, (650) 780-9443,http://www.mhasmc.org/,104 Cedar Street,REDWOOD CITY,CA,94063,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",No,Yes,1,1,5,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
47,WAVERLY PLACE APARTMENTS, (650) 241-2296,http://www.mhasmc.org/,105 5TH AVENUE,REDWOOD CITY,CA,94063,San Mateo,"Case Management Agency, Individuals or Groups (of Individuals)",No,Yes,1,1,,1,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 05:00 PM
48,STAR VISTA SAN MATEO, (650) 999-9999,https://star-vista.org/,700 S. CLAREMONT STREET SUITE 107,SAN MATEO,CA,94402,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Yes,Yes,1,0,5,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 09:00 AM to 05:00 PM
49,CORDILLERAS MENTAL HEALTH CENTER, (650) 367-1890,https://www.telecarecorp.com/,200 EDMUNDS ROAD,REDWOOD CITY,CA,94062,San Mateo,"Psychiatric Residential Treatment Facility, Non-Individual - Hospitals",Yes,Yes,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
50,CRESTWOOD BEHAVIORAL HEALTH CENTER, (661) 363-8127,https://crestwoodbehavioralhealth.com/,6700 EUCALYPTUS DRIVE SUITE A,BAKERSFIELD,CA,93306,Kern,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Yes,Yes,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
51,CRESTWOOD BEHAVIORAL HEALTH CENTER, (707) 442-5721,https://crestwoodbehavioralhealth.com/,2370 BUHNE STREET,EUREKA,CA,95501,Humboldt,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Yes,Yes,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
52,CRESTWOOD BEHAVIORAL HEALTH CENTER, (408) 275-1010,https://crestwoodbehavioralhealth.com/,1425 FRUITDALE AVENUE,SAN JOSE,CA,95128,Santa Clara,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Yes,Yes,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
53,CRESTWOOD C.E.N.T.E.R, (707) 965-2461,https://crestwoodbehavioralhealth.com/,295 PINE BREEZE DRIVE,ANGWIN,CA,94508,Napa,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Yes,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
54,CRESTWOOD CENTER, (916) 452-1431,https://crestwoodbehavioralhealth.com/,2600 STOCKTON BLVD,SACRAMENTO,CA,95817,Sacramento,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Yes,Yes,1,1,5,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
55,CRESTWOOD MANOR, (209) 478-2060,https://crestwoodbehavioralhealth.com/,1130 MONACO COURT,STOCKTON,CA,95207,Alameda,"Skilled Nursing Facility, Non-Individual - Hospitals",Yes,Yes,1,1,5,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
56,CRESTWOOD MANOR, (209) 526-8050,https://crestwoodbehavioralhealth.com/,1400 CELESTE DRIVE,MODESTO,CA,95355,Stanislaus,"Skilled Nursing Facility, Non-Individual - Hospitals",Yes,Yes,1,1,5,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
57,CRESTWOOD PSYCHIATRIC HEALTH FACILITY - SAN JOSE, (408) 275-1010,https://crestwoodbehavioralhealth.com/,1425 FRUITDALE AVENUE,SAN JOSE,CA,95128,Santa Clara,"Psychiatric Hospital, Non-Individual - Hospitals",Yes,Yes,1,1,5,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
58,CRESTWOOD RECOVERY AND REHAB CENTER, (707) 552-0215,https://crestwoodbehavioralhealth.com/,115 ODDSTAD DRIVE,VALLEJO,CA,94589,Solano,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Yes,Yes,1,1,5,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
59,CRESTWOOD TREATMENT CENTER, (510) 793-8383,https://crestwoodbehavioralhealth.com/,2171 MOWRY AVENUE,FREMONT,CA,94538,Alameda,"Skilled Nursing Facility, Non-Individual - Hospitals",Yes,Yes,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
60,CRESTWOOD TREATMENT CENTER, (510) 793-8383,https://crestwoodbehavioralhealth.com/,4303 STEVENSON BLVD,FREMONT,CA,94538,Alameda,"Skilled Nursing Facility, Non-Individual - Hospitals",Yes,Yes,1,1,5,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 12:00 AM to 11:59 PM
61,CAMINAR - PROJECT 90, (650) 579-7881,https://www.caminar.org/p90,416 2ND AVE,SAN MATEO,CA,94401,San Mateo,"Clinic/Center, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,,1,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 08:00 AM to 04:00 PM
62,HEALTHRIGHT 360 - Asian American Recovery Services, (650) 348-6603,https://www.healthright360.org/,1115 MISSION RD,SOUTH SAN FRANCISCO,CA,94080,San Mateo,"Substance Use Disorder Rehabilitation Clinic/Center, Community/Behavioral Health Agency, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,1,,,,Good,,,,,,,,,,,,,,,,,,0,1,Monday 09:00 AM to 05:30 PMTuesday 09:00 AM to 07:30 PMWednesday 09:00 AM to 05:30 PMThursday 09:00 AM to 07:30 PMFriday 09:00 AM to 05:30 PM
63,HEALTHRIGHT 360 - PIONEER COURT, (650) 348-6603,https://www.healthright360.org/,2015 PIONEER CT,"B											SAN MATEO",CA,94403,San Mateo,"Mental Illness Community Based Residential Treatment Facility, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,1,Monday through Sunday 09:00 AM to 05:00 PM
64,HEALTHRIGHT 360 - Women's Recovery Association -LAUREL HOUSE, (650) 348-6603,https://www.healthright360.org/,900 LAUREL AVE,SAN MATEO,CA,94401,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Residential Treatment Facilities",Yes,Yes,0,0,1,,,,,,,,,,,,,,,,,,,,,,0,1,Monday through Sunday 12:00 AM to 12:00 PM
65,HEALTHRIGHT 360 - Women's Recovery Association- ELMS HOUSE, (650) 348-6603,https://www.healthright360.org/,202 EAST BELLEVUE AVE,SAN MATEO,CA,94401,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Residential Treatment Facilities",Yes,Yes,1,0,1,,,,,,,,,,,,,,,,,,,,,,0,1,Monday through Sunday 12:00 AM to 12:00 PM
66,STARVISTA INSIGHTS - DALY CITY, (650) 366-8436,https://star-vista.org/programs/alphabetical-program-list/,333 GELLERT BLVD,"206											DALY CITY",CA,94015,San Mateo,"Multi-Specialty Group, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Friday 10:00 AM to 08:00 PM
67,STARVISTA WOMEN'S ENRICHMENT CENTER, (650) 591-3636,https://star-vista.org/programs/alphabetical-program-list/,335 QUARRY RD,SAN CARLOS,CA,94070,San Mateo,"Community/Behavioral Health Agency, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,5,,,,,,,,,,,,,,,,,,,,,,0,1,Monday through Friday 09:00 AM to 05:00 PM
68,BAART ADDICTION RESEARCH AND TREATMENT, (650) 324-1470,https://baartprograms.com/baart-san-mateo/,795 WILLOW RD,MENLO PARK,CA,94025,San Mateo,"Substance Use Disorder Rehabilitation Clinic/Center, Methadone Clinic, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,,1,Good,,Good,,,,,,,,,,,,,,,Good,,,1,1,Monday through Friday 06:00 AM to 01:30 PM
69,EL CENTRO DE LIBERTAD THE FREEDOM CENTER - ALLERTON, (650) 599-9955,https://www.elcentrodelibertad.org/,500 ALLERTON ST,REDWOOD CITY,CA,94063,San Mateo,"Substance Use Disorder Rehabilitation Clinic/Center, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,5,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday through Thursday 08:00 AM to 07:00 PMFriday 08:00 AM to 04:00 PM
70,EL CENTRO DE LIBERTAD THE FREEDOM CENTER - COASTSIDE, (650) 599-9955,https://www.elcentrodelibertad.org/,225 S. CABRILLO HWY,"105-D											HALF MOON BAY",CA,94019,San Mateo,"Substance Use Disorder Rehabilitation Clinic/Center, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,5,,Good,,,,,,,,,,,,,,,,,,,,1,1,Monday 02:00 PM to 08:00 PMTuesday 11:00 AM to 08:00 PMWednesday and Thursday 09:00 AM to 05:30 PMFriday 09:00 AM to 05:30 PM
71,FREE AT LAST - EAST PALO ALTO, (650) 462-6999,http://freeatlast.org/,1796 BAY ROAD,EAST PALO ALTO,CA,94303,San Mateo,"Multi-Specialty Group, Community/Behavioral Health Agency, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,,1,,,,,,,,,,,,,,,,,,,,,0,1,Monday through Friday 08:00 AM to 05:00 PM
72,FREE AT LAST - MALAIKA HOUSE, (650) 462-6999,http://freeatlast.org/,819-823 JAIME LN,EAST PALO ALTO,CA,94303,San Mateo,"Children's Substance Abuse Rehabilitation Facility, Non-Individual - Residential Treatment Facilities",Yes,Yes,0,0,,1,,,,,,,,,,,,,,,,,,,,,0,1,Monday through Sunday 12:00 AM to 12:00 PM
