Title,Phone,Website,Street Address,City,State,Zip,County,Specialty,Hours,Accommodations,Telehealth Offered,Languages/Cultural Capabilities,Language Line Interpretation Services Available,Accepting New Clients
PSYNERGY SACRAMENTO, (650) 999-9999,https://psynergy.org/,4612 ROOSEVELT AVENUE,SACRAMENTO,CA,95820,Sacramento,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Sunday 07:00 AM to 07:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 mile from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,No,Yes
PSYNERGY SACRAMENTO CLINIC B, (916) 476-3084,https://psynergy.org/,4616 ROOSEVELT AVENUE,SACRAMENTO,CA,95820,Sacramento,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 mile from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,No,Yes
ALAMEDA DE LAS PULGAS CLINIC, (650) 372-3210,https://www.smchealth.org/,2000 ALAMEDA DE LAS PULGAS,SAN MATEO,CA,94403,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,YueChinese:Fluent;Korean:Good;MandarinChinese:Fluent;Spanish:Fluent;Tagalog:Good;AmericanSignLanguage:Fluent,Yes,Yes
BADEN THERAPEUTIC DAY SCHOOL, (650) 877-8795,https://www.smchealth.org/,825 SOUTHWOOOD DRIVE,SOUTH SAN FRANCISCO,CA,94080,San Mateo,"Adolescent and Children Mental Health Clinic/Center, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 03:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Fluent,Yes,Yes
CANYON OAKS YOUTH CENTER, (650) 839-1810,https://www.smchealth.org/,400 EDMONDS ROAD,REDWOOD CITY,CA,94062,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Russian:Good;Spanish:Fluent,Yes,Yes
CENTRAL COUNTY MENTAL HEALTH, (650) 573-3571,https://www.smchealth.org/,1950 ALAMEDA DE LAS PULGAS,SAN MATEO,CA,94403,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,YueChinese:Fluent;Persian:Good;MandarinChinese:Fluent;Chinese:Good;Spanish:Fluent;Tagalog:Fluent;AmericanSignLanguage:Fluent,Yes,Yes
COASTSIDE MENTAL HEALTH, (650) 726-6369,https://www.smchealth.org/,225 S. CABRILLO HIGHWAY,HALF MOON BAY,CA,94019,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Fluent;MandarinChinese:Fluent,Yes,Yes
COMMUNITY COUNSELING CENTER, (650) 363-4030,https://www.smchealth.org/,2415 UNIVERSITY AVENUE,EAST PALO ALTO,CA,94303,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Persian:Good;Spanish:Fluent;Armenian:Good,Yes,Yes
ELYSIAN STRTP COUNTY OF SAN MATEO, (650) 312-5320,https://www.smchealth.org/,31 TOWER ROAD,SAN MATEO,CA,94402,San Mateo,"Emotionally Disturbed Childrens' Residential Treatment Facility, Individuals or Groups (of Individuals)",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Japanese:Good,Yes,Yes
HARBOR, (650) 573-2159,https://www.smchealth.org/,310 HARBOR BLVD,BELMONT,CA,94002,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Fluent,Yes,Yes
JEFFERSON UNION HIGH SCHOOL DISTRICT (JUHSD) TDS, (650) 994-4395,https://www.smchealth.org/,699 SERRAMONTE BLVD,DALY CITY,CA,94015,San Mateo,"Adolescent and Children Mental Health Clinic/Center, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 04:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Arabic:Good,Yes,Yes
NORTH COUNTY MENTAL HEALTH, (650) 301-8650,https://www.smchealth.org/,375 89TH STREET,DALY CITY,CA,94015,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Fluent;YueChinese:Good;MandarinChinese:Good;Chinese:Good;Tagalog:Fluent;Vietnamese:Good,Yes,Yes
NORTH COUNTY YOUTH, (650) 301-8650,https://www.smchealth.org/,350 90TH STREET,DALY CITY,CA,94015,San Mateo,"Community Health Clinic/Center, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Fluent;YueChinese:Good;Persian:Good;MandarinChinese:Good;Tagalog:Fluent;Vietnamese:Good,Yes,Yes
PALOS VERDES, (650) 583-1260,https://www.smchealth.org/,1290 COMMODORE DRIVE,SAN BRUNO,CA,94066,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Arabic:Good;YueChinese:Good;MandarinChinese:Good;Russian:Good;Spanish:Fluent;Tagalog:Good,Yes,Yes
SAN MATEO MEDICAL CENTER, (800) 686-0101,https://www.smchealth.org/san-mateo-medical-center,222 WEST 39TH AVENUE,SAN MATEO,CA,94403,San Mateo,"Psychiatric Hospital Unit, Non-Individual - Hospitals",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Arabic:Fluent;Armenian:Fluent;Khmer:Fluent;YueChinese:Fluent;Persian:Fluent;Hmong:Fluent;Korean:Fluent;MandarinChinese:Fluent;Chinese:Fluent;Russian:Fluent;Spanish:Fluent;Tagalog:Fluent;Vietnamese:Fluent;AmericanSignLanguage:Fluent,Yes,Yes
SAN MATEO MEDICAL CENTER - PES, (650) 573-2662,https://www.smchealth.org/san-mateo-medical-center,222 W 39TH AVENUE,SAN MATEO,CA,94403,San Mateo,"Psychiatric Hospital Unit, Non-Individual - Hospital Units",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,No provider uses telehealth at this site,Arabic:Fluent;Armenian:Fluent;Khmer:Fluent;YueChinese:Fluent;Persian:Fluent;Hmong:Fluent;Korean:Fluent;MandarinChinese:Fluent;Chinese:Fluent;Russian:Fluent;Spanish:Fluent;Tagalog:Fluent;Vietnamese:Fluent;AmericanSignLanguage:Fluent,Yes,Yes
SERVICE CONNECT, (650) 508-6745,https://www.smchealth.org/,550 QUARRY ROAD,SAN CARLOS,CA,94070,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Fluent,Yes,Yes
SHASTA, (650) 599-1033,https://www.smchealth.org/,727 SHASTA STREET,REDWOOD CITY,CA,94063,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,MandarinChinese:Good;Russian:Good;Spanish:Fluent,Yes,Yes
SOUTH COUNTY MENTAL HEALTH, (650) 363-4111,https://www.smchealth.org/,802 BREWSTER AVENUE,REDWOOD CITY,CA,94063,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,YueChinese:Good;MandarinChinese:Good;Chinese:Good;Russian:Good;Spanish:Fluent;Tagalog:Good;Vietnamese:Good,Yes,Yes
YOUTH SERVICE CENTER, (650) 312-5322,https://www.smchealth.org/,222 PAUL SCANNELL DRIVE,SAN MATEO,CA,94402,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Fluent,Yes,Yes
STARVISTA, (650) 366-8436,https://star-vista.org/,333 GELLERT BLVD SUITE 206,DALY CITY,CA,94015,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Thursday 02:00 PM to 08:00 PMFriday 02:00 PM to 06:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;YueChinese:Good;MandarinChinese:Good,Yes,Yes
STARVISTA PACIFICA, (650) 366-8433,https://star-vista.org/,480 MANOR PLAZA,PACIFICA,CA,94044,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,Yes,Yes
STARVISTASAN MATEO COUNTY PRIDE CENTER, (650) 355-8787,https://star-vista.org/,1021 S. EL CAMINO REAL,SAN MATEO,CA,94402,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 10:00 AM to 07:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,Yes,Yes
TELECARE ADULT FULL SERVICE PARTNERSHIP, (650) 817-9070,https://www.telecarecorp.com/,1692 EL CAMINO REAL,SAN CARLOS,CA,94070,San Mateo,"Mental Health Clinic/Center (Including Community Mental Health Center), Individuals or Groups (of Individuals)",Monday through Friday 08:30 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,MandarinChinese:Good;Chinese:Good;Spanish:Good,No,Yes
YOUTH SERVICE BUREAU, (650) 877-8642,https://www.ymcasf.org/,1670 S AMPHLETT BLVD SUITE 115,SAN MATEO,CA,94402,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 07:30 AM to 06:30 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Arabic:Good;Russian:Good;Spanish:Good;Tagalog:Good;MandarinChinese:Good,No,Yes
YOUTH SERVICE BUREAU-PACIFICA, (650) 877-8642,https://www.ymcasf.org/,435 EDGEMAR AVE,PACIFICA,CA,94044,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Wednesday 03:00 PM to 08:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Tagalog:Good;YueChinese:Good,No,Yes
YOUTH SERVICES BUREAU SSF, (650) 877-8642,https://www.ymcasf.org/,1486 HUNTINGTON AVENUE,SOUTH SAN FRANCISCO,CA,94080,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday 08:00 AM to 12:00 PMTuesday 12:00 PM to 04:00 PMThursday 12:00 PM to 04:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,YueChinese:Good;MandarinChinese:Good;Russian:Good;Spanish:Good;Tagalog:Good,No,Yes
EDGEWOOD CENTER FOR CHILDREN AND FAMILIES SO SAN FRANCISCO, (650) 517-8220,https://edgewood.org/,170 S. SPRUCE AVENUE SUITE 250,SOUTH SAN FRANCISCO,CA,94080,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 02:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Tagalog:Good;Vietnamese:Good,No,Yes
(RE) MIND FELTON BEAM, (650) 458-0026,http://feltonearlypsychosis.org,1108 SOUTH EL CAMINO REAL,SAN MATEO,CA,94402,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,MandarinChinese:Good;Spanish:Good,No,Yes
FRED FINCH YOUTH CENTER, (510) 482-2244,http://www.fredfinch.org,3800 COOLIDGE AVENUE,OAKLAND,CA,94602,Alameda,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 08:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,No,Yes
FRED FINCH YOUTH CENTER BRIDGES OF SAN MATEO, (650) 286-2090,http://www.fredfinch.org,126 W. 25TH AVENUE,SAN MATEO,CA,94403,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 05:00 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,No,Yes
DRAKE HOUSE MHSS, (831) 655-8800,http://www.frontst.com,320 HAWTHORNE STREET,MONTEREY,CA,93940,Monterey,"Case Management Agency, Individuals or Groups (of Individuals)",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Vietnamese:Good;Tagalog:Good,No,Yes
SERENITY HOUSE, (650) 204-9698,https://www.telecarecorp.com/,3701 HACIENDA STREET,SAN MATEO,CA,94403,San Mateo,"Adult Mental Health Clinic/Center, Non-Individual - Residential Treatment Facilities",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,Yes,Yes
DALY CITY YOUTH HEALTH CENTER, (650) 877-5700,https://www.juhsd.net/,350 90TH STREET,DALY CITY,CA,94015,San Mateo,"Local Education Agency (LEA), Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 05:30 PM											Age Groups Served:Site Serves only Children,This location is handicapped accessible (ADA Compliant)This location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,YueChinese:Good;Spanish:Good;Tagalog:Good;MandarinChinese:Good;Italian:Good,No,Yes
MENTAL HEALTH ASSOC. OF SAN MATEO COUNTY-BELMONT STUDIOS, (650) 368-3345,http://www.mhasmc.org/,800 F STREET,BELMONT,CA,94002,San Mateo,"Case Management Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Samoan:Good,No,Yes
MENTAL HEALTH ASSOCIATION OF SAN MATEO COUNTY, (650) 368-3345,http://www.mhasmc.org/,2686 SPRING STREET,REDWOOD CITY,CA,94063,San Mateo,"Case Management Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good;Samoan:Good,No,Yes
MHA-CEDAR STREET, (650) 780-9443,http://www.mhasmc.org/,104 Cedar Street,REDWOOD CITY,CA,94063,San Mateo,"Community/Behavioral Health Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,No,Yes
WAVERLY PLACE APARTMENTS, (650) 241-2296,http://www.mhasmc.org/,105 5TH AVENUE,REDWOOD CITY,CA,94063,San Mateo,"Case Management Agency, Individuals or Groups (of Individuals)",Monday through Friday 08:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 mile from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,No,Yes
STAR VISTA SAN MATEO, (650) 999-9999,https://star-vista.org/,700 S. CLAREMONT STREET SUITE 107,SAN MATEO,CA,94402,San Mateo,"Multi-Specialty Group, Individuals or Groups (of Individuals)",Monday through Friday 09:00 AM to 05:00 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location is less than 5 blocks from public transportation,Services at this site are provided both in-person and through telehealth,Spanish:Good,Yes,Yes
CORDILLERAS MENTAL HEALTH CENTER, (650) 367-1890,https://www.telecarecorp.com/,200 EDMUNDS ROAD,REDWOOD CITY,CA,94062,San Mateo,"Psychiatric Residential Treatment Facility, Non-Individual - Hospitals",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,No provider uses telehealth at this site,"",Yes,Yes
CRESTWOOD BEHAVIORAL HEALTH CENTER, (661) 363-8127,https://crestwoodbehavioralhealth.com/,6700 EUCALYPTUS DRIVE SUITE A,BAKERSFIELD,CA,93306,Kern,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,No provider uses telehealth at this site,"",Yes,Yes
CRESTWOOD BEHAVIORAL HEALTH CENTER, (707) 442-5721,https://crestwoodbehavioralhealth.com/,2370 BUHNE STREET,EUREKA,CA,95501,Humboldt,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,No provider uses telehealth at this site,"",Yes,Yes
CRESTWOOD BEHAVIORAL HEALTH CENTER, (408) 275-1010,https://crestwoodbehavioralhealth.com/,1425 FRUITDALE AVENUE,SAN JOSE,CA,95128,Santa Clara,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 1 block from public transportation,No provider uses telehealth at this site,"",Yes,Yes
CRESTWOOD C.E.N.T.E.R, (707) 965-2461,https://crestwoodbehavioralhealth.com/,295 PINE BREEZE DRIVE,ANGWIN,CA,94508,Napa,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is 1 or more miles from public transportation,No provider uses telehealth at this site,"",Yes,Yes
CRESTWOOD CENTER, (916) 452-1431,https://crestwoodbehavioralhealth.com/,2600 STOCKTON BLVD,SACRAMENTO,CA,95817,Sacramento,"Mental Illness Intermediate Care Facility, Non-Individual - Hospitals",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 5 blocks from public transportation,No provider uses telehealth at this site,"",Yes,Yes
CRESTWOOD MANOR, (209) 478-2060,https://crestwoodbehavioralhealth.com/,1130 MONACO COURT,STOCKTON,CA,95207,Alameda,"Skilled Nursing Facility, Non-Individual - Hospitals",Monday through Sunday 12:00 AM to 11:59 PM											Age Groups Served:Site Serves Children and Adults,This location is handicapped accessible (ADA Compliant)This location has Telecommunication Device for the Deaf (TDD) equipmentThis location is less than 5 blocks from public transportation,No provider uses telehealth at this site,"",Yes,Yes
